variable;text
gender;Bitte geben Sie Ihr Geschlecht an. Response
age;Bitte geben Sie Ihr Alter in Jahren an. Open-Ended Response
edu;Welchen hí_chsten Bildungsabschluss haben Sie (bisher) erlangt? Response_1
edus;X13 Sonstiges (bitte angeben)
job;Bitte geben Sie die Tí_tigkeit an, der Sie momentan nachgehen. Response_2
residence;Bitte geben Sie an, wo sich Ihr Wohnsitz befindet. Response_3
kut1;Bitte geben Sie an, wie sehr sie folgenden Fragen zustimmen. Bitte geben Sie an, wie sehr sie folgenden Fragen zustimmen. Ich kann ziemlich viele der technischen Probleme, mit denenich konfrontiert werde, allein lí_sen.
kut2;X17 Technische Gerí_te sind oft undurchschaubar und schwer zubeherrschen.
kut3;X18 Es macht mir richtig Spaíô, ein technisches Problem zuknacken
kut4;X19 Weil ich mit bisherigen technischen Problemen gut zurechtgekommen bin, blicke ich auch kí_nftigen technischenProblemen optimistisch entgegen.
kut5;X20 Ich fí_hle mich technischen Gerí_ten gegení_ber so hilflos, dassich die Finger von ihnen lasse.
kut6;X21 Auch wenn Widerstí_nde auftreten, bearbeite ich eintechnisches Problem weiter.
kut7;X22 Wenn ich ein technisches Problem lí_se, so geschieht esmeistens durch Glí_ck.
kut8;X23 Die meisten technischen Probleme sind so kompliziert, dass eswenig Sinn hat, sich mit ihnen auseinander zu setzen.
priv1;Wie ist Ihre Einstellung zur Privatsphí_re? IchŒæmache mir wenig Sorgen í_ber meine Privatsphí_re.
priv2;X26 Ich habe kein Problem damit, Anderen Informationen í_ber mich mitzuteilen, solange sie mir keinen Grund geben, dies nicht mehr zu tun.
priv3;X27 Ich habe ein Problem damit, fremden Personen persí_nliche InformationenŒæmitzuteilen.
dat1;Wie ist Ihre Einstellung zum Datenschutz? Ich bin nicht sensibel, wenn es um die Handhabung meiner Daten geht.
dat2;X29 Da ich nichts zu verbergen habe, habe ich kein Problem damit, wenn Andere persí_nliche Daten von mir kennen.
dat3;X30 Ich empfinde es als wichtig, persí_nliche Informationen fí_r mich zu behalten.
socme;Welche der folgenden Technologien nutzen Sie? (Mehrfachantwort mí_glich) Social Media
sich1;Bitte beantworten Sie die folgenden Fragen zu Ihrem subjektiven Sicherheitsbedí_rfnis. Ich mache mir oft Sorgen, Opfer einer Straftat zu werden.
sich2;X91 Ich vermeide es, mich bei Dunkelheit an unbelebten Plí_tzen aufzuhalten.
sich3;X92 Ich fí_hle mich im í_ffentlichen Raum sicher.
sich4;X93 Ich wí_nsche mir eine hí_here Polizeiprí_senz in meiner Nachbarschaft.
sich5;X94 Ich wí_nsche mir ein schnelleres Agieren der Polizei bei Straftaten, wie Einbrí_chen.
sich6;X95 Ich wí_rde eine Einschrí_nkung meiner Privatsphí_re in Kauf nehmen, wenn dadurch mein Sicherheitsempfinden gesteigert werden kí_nnte.
dperso1;Bitte beantworten Sie die folgenden Fragen zur Nutzung personenbezogener Daten im Rahmen von Predictive Policing. Ich bin bereit, meine Daten fí_r die Polizeiarbeit freizugeben.
dperso2;X97 Ich habe Angst davor, dass meine Daten von Dritten missbraucht werden kí_nnten.
dperso3;X98 Ich habe kein Problem damit, dass Dritte meine Daten verwenden (z.B. fí_r Marktforschungs- oder Werbezwecke).
dperso4;X99 Die Kontrolle darí_ber, welche Daten von mir verwendet werden, ist mir sehr wichtig.
dperso5;X100 Ich mí_chte stets Kenntnis darí_ber haben, welche Daten fí_r welchen Zweck verwendet werden.
dsave1;Bitte beantworten Sie die folgenden Fragen zur Dauer der Datenspeicherung. Ich habe kein Problem damit, dass meine Daten permanent gespeichert werden.
dsave2;X102 Einer temporí_ren Datenspeicherung (5-10 Jahre) gegení_ber bin ich nicht abgeneigt.
dsave3;X103 Ich mí_chte, dass meine Daten fí_r maximal ein Jahr gespeichert werden.
dtype1;Wie sieht die von Ihnen bevorzugte Art der Datenspeicherung aus? Ich wí_re damit einverstanden, dass meine Daten anonymisiert verwendet werden, sodass keine Rí_ckschlí_sse auf meine Person mí_glich sind.
dtype2;X105 Ich habe Angst davor, dass aufgrund der Daten Rí_ckschlí_sse auf meine Person mí_glich sind.
dtype3;X106 Ich bin einer verschlí_sselten Speicherung meiner Daten nicht abgeneigt.
