respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,Bitte geben Sie Ihr Geschlecht an.,Bitte geben Sie Ihr Alter in Jahren an.,Welchen höchsten Bildungsabschluss haben Sie (bisher) erlangt?,,"Bitte geben Sie die Tätigkeit an, der Sie momentan nachgehen.","Bitte geben Sie an, wo sich Ihr Wohnsitz befindet.","Bitte geben Sie an, wie sehr sie folgenden Fragen zustimmen. Bitte geben Sie an, wie sehr sie folgenden Fragen zustimmen.",,,,,,,,Wie oft nutzen Sie soziale Netzwerke (z.B. Facebook oder Instagram)?,Wie ist Ihre Einstellung zur Privatsphäre?,,,Wie ist Ihre Einstellung zum Datenschutz?,,,Welche der folgenden Technologien nutzen Sie? (Mehrfachantwort möglich),,,,,,,,"Welche Aspekte spielen eine Rolle, wenn Sie über die Anschaffung einer neuen Technologie nachdenken?",,,,,,"Bei den folgenden Aussagen geht es um Ihr Vertrauen in Alltagstechnologien (z.B. Social Media, Onlinebanking, Smarthome). Welche der folgenden Aussagen trifft auf Sie zu?",,,,,,,Welcher Aussage im Bezug auf digitale Technologien stimmen Sie zu?,,,,,,,,Welchen Aussagen über den elektronischen Ausweis halten Sie für korrekt?,,,,,,Welchen Personalausweis besitzen Sie?,Haben Sie schon einmal schlechte Erfahrungen bei Behörden gesammelt?,"Wurden Sie über die eID informiert, als Sie einen neuen Personalausweis beantragt haben?","Bitte geben Sie an, inwiefern Sie den folgenden Aussagen zustimmen.",,,,,,,,,Welche Vorteile sehen Sie in der flächendeckenden Nutzung der eID?,Welche Aussagen in Bezug auf die eID treffen auf Sie zu?,,,,,,,,Weshalb nutzen Sie (k)eine eID?,Folgende Bedenken habe ich in Bezug auf die eID.,Ich wünsche mir folgende weitere Funktionen der eID.,Bitte beantworten Sie die folgenden Fragen zu Ihrem subjektiven Sicherheitsbedürfnis.,,,,,,Bitte beantworten Sie die folgenden Fragen zur Nutzung personenbezogener Daten im Rahmen von Predictive Policing.,,,,,Bitte beantworten Sie die folgenden Fragen zur Dauer der Datenspeicherung.,,,Wie sieht die von Ihnen bevorzugte Art der Datenspeicherung aus?,,,Gesponserte Werbebeiträge in meinen sozialen Netzwerken...,,,,,Gesponserte Werbebeiträge in meinen sozialen Netzwerken...,,,"Unter Targeting versteht man die zielgerichtete Adressierung und Anpassung von Inhalten an Individuen auf Grundlage ihrer Online-Aktivitäten, z.B. Gefällt-Mir-Angaben, Google-Suchen, Onlinekäufe.Targeting von Werbebeiträgen in sozialen Netzwerken...",,,,Bitte nehmen Sie Stellung zu folgenden Aussagen:,,,,Gesponserte Werbebeiträge...,,,,"Für Ihre Fragen, Anmerkungen oder Feedback:"
,,,,,,,,,Response,Open-Ended Response,Response,Sonstiges (bitte angeben),Response,Response,"Ich kann ziemlich viele der technischen Probleme, mit denenich konfrontiert werde, allein lösen.",Technische Geräte sind oft undurchschaubar und schwer zubeherrschen.,"Es macht mir richtig Spaß, ein technisches Problem zuknacken","Weil ich mit bisherigen technischen Problemen gut zurechtgekommen bin, blicke ich auch künftigen technischenProblemen optimistisch entgegen.","Ich fühle mich technischen Geräten gegenüber so hilflos, dassich die Finger von ihnen lasse.","Auch wenn Widerstände auftreten, bearbeite ich eintechnisches Problem weiter.","Wenn ich ein technisches Problem löse, so geschieht esmeistens durch Glück.","Die meisten technischen Probleme sind so kompliziert, dass eswenig Sinn hat, sich mit ihnen auseinander zu setzen.",Response,Ich mache mir wenig Sorgen über meine Privatsphäre.,"Ich habe kein Problem damit, Anderen Informationen über mich mitzuteilen, solange sie mir keinen Grund geben, dies nicht mehr zu tun.","Ich habe ein Problem damit, fremden Personen persönliche Informationen mitzuteilen.","Ich bin nicht sensibel, wenn es um die Handhabung meiner Daten geht.","Da ich nichts zu verbergen habe, habe ich kein Problem damit, wenn Andere persönliche Daten von mir kennen.","Ich empfinde es als wichtig, persönliche Informationen für mich zu behalten.",Social Media,Online-Banking,Pay Pal,"Smart Speaker (z.B. ""Alexa"")",Smart Home (z.B. Licht oder Heizung),Überwachungskameras,Fitness-Tracker,Sonstige,niedrige Kosten,Interesse an der Technologie,hohe Sicherheit,einfache Bedienung,leichte Verständlichkeit der Sicherheitsinformation,hoher Verbreitungsgrad,Ich vertraue Technologien.,Mir ist egal wer meine Daten sehen kann und wer nicht. Ich habe nichts zu verstecken.,Ich hatte noch nie Angst um meine persönlichen Daten.,Ich habe bis jetzt nur gute Erfahrungen mit Technologien gemacht.,Ich weiß immer wer meine Daten einsehen kann.,"Ich habe Angst Technologie zu verwenden, weil ich nicht weiß, was mit meinen Daten passiert.",Änderung,Ich informiere mich über neue digitale Technologien.,Digitale Technologien machen vieles umständlicher.,Es macht mir Spaß digitale Neuerungen auszuprobieren.,Digitale Technologien machen unabhängig.,"Ich liebe es, Dinge auf digitalem Weg erledigen zu können.",Digitale Technologien verursachen Stress.,Digitale Technologien erleichtern mir den Alltag.,Digitale Technologien erhöhen die Sicherheit.,Die eID kann eine rechtsverbindliche Unterschrift ersetzen.,Mit der eID kann man beispielsweise Bafög-Nachweise online einreichen.,Die eID ermöglicht es Behörden mich zu orten.,"Mit einem Lesegerät kann jeder, der im Besitz meiner eID ist, ihn online verwenden.",Alle Daten werden ausschließlich verschlüsselt übertragen.,Die eID kann unbemerkt auf der Straße ausgelesen werden.,Response,Response,Response,"Ich vertraue den Mitarbeiter*Innen einer Behörde, dass meine Daten vertraulich behandelt werden.","Ich vertraue darauf, dass die von Behörden verwendeten Technik (z.B. Verschlüsselungssysteme, Firewalls, Programme usw.) meine Daten auch vor externen Angriffen schützt.","Ich habe Angst, durch die eID mehr überwacht zu werden.","Ich habe Angst davor, dass meine Daten bei der eID nicht ordnungsgemäß verwaltet werden, weil ich es nicht selbst überprüfen kann.","Die Einführung der eID halte ich für sinnvoll, das macht vieles leichter.","Ich empfinde die Einführung der eID als unnötig, da ich eh lieber persönlich zu der entsprechenden Behörde gehe.","Die Einführung der eID finde ich gut, bin aber skeptisch über die Umsetzung, da es nicht transparent ist, wo meine Daten überall gespeichert werden.","Ich empfinde die Einführung der eID als unnötig, da ich eh lieber persönlich zu der entsprechenden Behörde gehe.","Die Einführung der eID finde ich gut, bin aber skeptisch über die Umsetzung, da es nicht transparent ist, wo meine Daten überall gespeichert werden.",Open-Ended Response,"Ich beabsichtige, in nächster Zeit die eID zu nutzen.",Die eID bietet für mich als Bürger*In Vorteile.,Ich kenne die Funktionen der eID.,"Ich weiß nicht, welche Daten auf der eID gespeichert sind.","Ich weiß, wer Zugriff auf die Daten auf die eID hat.",Ich fühle mich nicht ausreichend über die möglichen Services der eID informiert.,"LÖSCHEN: Ich vertraue darauf, dass meine Daten nicht weitergegeben werden.",Ich fühle mich nicht ausreichend über die möglichen Services des e-Ausweises informiert.,Open-Ended Response,Open-Ended Response,Open-Ended Response,"Ich mache mir oft Sorgen, Opfer einer Straftat zu werden.","Ich vermeide es, mich bei Dunkelheit an unbelebten Plätzen aufzuhalten.",Ich fühle mich im öffentlichen Raum sicher.,Ich wünsche mir eine höhere Polizeipräsenz in meiner Nachbarschaft.,"Ich wünsche mir ein schnelleres Agieren der Polizei bei Straftaten, wie Einbrüchen.","Ich würde eine Einschränkung meiner Privatsphäre in Kauf nehmen, wenn dadurch mein Sicherheitsempfinden gesteigert werden könnte.","Ich bin bereit, meine Daten für die Polizeiarbeit freizugeben.","Ich habe Angst davor, dass meine Daten von Dritten missbraucht werden könnten.","Ich habe kein Problem damit, dass Dritte meine Daten verwenden (z.B. für Marktforschungs- oder Werbezwecke).","Die Kontrolle darüber, welche Daten von mir verwendet werden, ist mir sehr wichtig.","Ich möchte stets Kenntnis darüber haben, welche Daten für welchen Zweck verwendet werden.","Ich habe kein Problem damit, dass meine Daten permanent gespeichert werden.",Einer temporären Datenspeicherung (5-10 Jahre) gegenüber bin ich nicht abgeneigt.,"Ich möchte, dass meine Daten für maximal ein Jahr gespeichert werden.","Ich wäre damit einverstanden, dass meine Daten anonymisiert verwendet werden, sodass keine Rückschlüsse auf meine Person möglich sind.","Ich habe Angst davor, dass aufgrund der Daten Rückschlüsse auf meine Person möglich sind.",Ich bin einer verschlüsselten Speicherung meiner Daten nicht abgeneigt.,nehme ich bewusst wahr.,entsprechen meinen Interessen.,"unterscheiden sich von Werbebeiträgen, die meinen Freunden angezeigt werden.",sind auf mich abgestimmt.,sind mir noch nie aufgefallen.,stecken mich in eine bestimmte Schublade.,sind auf mein Geschlecht bezogen.,bilden Klischees ab.,finde ich nützlich.,empfinde ich als störend.,finde ich beängstigend.,"erleichtern es mir, passende Produkte zu finden.","Ich finde es gut, dass sich gesponserte Beiträge auf mein Geschlecht beziehen.","Mich stört, dass mir bestimmte Werbebeiträge aufgrund meines Geschlechts vorenthalten werden.",Ich bevorzuge geschlechtsneutrale Werbung.,Geschlechtsspezifische Klischees empfinde ich als beleidigend.,empfinde ich als geschlechterdiskriminierend.,beurteile ich als geschlechtsneutral.,diskriminieren mich aufgrund meines Geschlechts.,"enthalten ein hohes, geschlechtsspezifisches Diskriminierungspotential",Open-Ended Response
10380104718,221378754,11/27/2018 11:36:48 PM,11/27/2018 11:42:13 PM,109.90.232.198,,,,,Keine Angabe,99,Hauptschulabschluss,,Schüler/in,Ich wohne auf dem Land.,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Mehrmals täglich,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,Social Media,,,,,,,,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,"Einen alten, der nicht eID-fähig ist.","Ja, schon mehrfach.","Ja, sehr gut und ausführlich.",Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,,,,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,,,,,,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,
10380088832,221378754,11/27/2018 11:30:04 PM,11/27/2018 11:36:11 PM,109.90.232.198,,,,,Keine Angabe,99,Hauptschulabschluss,,Schüler/in,Ich wohne auf dem Land.,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Mehrmals täglich,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,Social Media,,,,,,,,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,"Einen alten, der nicht eID-fähig ist.","Ja, schon mehrfach.","Ja, sehr gut und ausführlich.",Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,,,,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,,,,,,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,
10380067380,221378754,11/27/2018 11:21:08 PM,11/27/2018 11:28:32 PM,79.220.210.23,,,,,Keine Angabe,99,,,,,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Nie,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,,,,,,,,Sonstige,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Ich weiß es nicht.,"Nein, noch nie.",Ich habe seit der Einführung keinen neuen Personalausweis beantragt.,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,,,,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,,,,,,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher nicht zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,Stimme eher zu,
10380065817,221378754,11/27/2018 11:20:27 PM,11/27/2018 11:28:53 PM,109.41.195.99,,,,,Weiblich,22,"Studienabschluss (Bachelor, Master, Magister, Diplom, Promotion etc.)",,Studierende/r,Ich wohne zentral in einer Stadt.,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Mehrmals täglich,stimme gar nicht zu,stimme gar nicht zu,stimme gar nicht zu,stimme gar nicht zu,stimme gar nicht zu,stimme gar nicht zu,Social Media,Online-Banking,Pay Pal,,,,,,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,"Einen eID-fähigen, dessen Funktion ich auch nutze.","Nein, noch nie.","Ja, sehr gut und ausführlich.",Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,,,,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,,,,,,stimme gar nicht zu,stimme gar nicht zu,stimme gar nicht zu,stimme gar nicht zu,stimme gar nicht zu,stimme gar nicht zu,stimme gar nicht zu,stimme gar nicht zu,stimme gar nicht zu,stimme gar nicht zu,stimme gar nicht zu,stimme gar nicht zu,stimme gar nicht zu,stimme gar nicht zu,stimme gar nicht zu,stimme gar nicht zu,stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme gar nicht zu,
10379711108,221378754,11/27/2018 09:17:48 PM,11/27/2018 09:22:08 PM,109.91.23.128,,,,,Keine Angabe,99,"Studienabschluss (Bachelor, Master, Magister, Diplom, Promotion etc.)",,Studierende/r,Ich wohne zentral in einer Stadt.,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Mehrmals täglich,stimme völlig zu,stimme völlig zu,stimme völlig zu,stimme völlig zu,stimme völlig zu,stimme völlig zu,Social Media,Online-Banking,Pay Pal,,,,,,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,"Einen eID-fähigen, die Funktion ist aber deaktiviert.","Nein, noch nie.","Geht so, ich habe eine Broschüre mit Informationen zur eID bekommen.",Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,,,,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,,,,,,stimme völlig zu,stimme völlig zu,stimme völlig zu,stimme völlig zu,stimme völlig zu,stimme völlig zu,stimme völlig zu,stimme völlig zu,stimme völlig zu,stimme völlig zu,stimme völlig zu,stimme völlig zu,stimme völlig zu,stimme völlig zu,stimme völlig zu,stimme völlig zu,stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,Stimme völlig zu,
10379685329,221378754,11/27/2018 09:09:43 PM,11/27/2018 09:14:31 PM,79.220.109.109,,,,,Keine Angabe,99,"Studienabschluss (Bachelor, Master, Magister, Diplom, Promotion etc.)",,Studierende/r,Ich wohne auf dem Land.,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Mehrmals täglich,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,Social Media,Online-Banking,Pay Pal,,,,,,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,"Einen eID-fähigen, die Funktion ist aber deaktiviert.","Nein, noch nie.","Kann ich nicht genau beurteilen, ich habe es nicht genau verstanden, was mir erklärt wurde.",Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,,,Online Nutzung beispielsweise beim Bafög,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,,,"Ich weiß nicht genau was die eID alles kann, daher kaum Nutzung",Angst vor unwissender Datenverbreitung,Blutgruppen Auslesung ,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Stimme eher nicht zu,Alles top
10378325219,221096680,11/27/2018 01:04:26 PM,11/27/2018 01:25:17 PM,134.61.139.112,,,,,Keine Angabe,99,"Studienabschluss (Bachelor, Master, Magister, Diplom, Promotion etc.)",,Studierende/r,Ich wohne zentral in einer Stadt.,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Mehrmals täglich,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,Social Media,Online-Banking,Pay Pal,,,,,,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,stimme nicht zu,,,,,,,,,,,,,,,,,,,,,
10370722016,221096680,11/22/2018 07:40:19 PM,11/22/2018 08:16:53 PM,109.90.233.235,,,,,Weiblich,21,"Studienabschluss (Bachelor, Master, Magister, Diplom, Promotion etc.)",,Studierende/r,,,,,,,,,,Mehrmals täglich,stimme eher nicht zu,stimme eher zu,stimme zu,stimme nicht zu,stimme nicht zu,stimme zu,Social Media,Online-Banking,Pay Pal,,,,,,Stimme völlig zu,Stimme völlig zu,Stimme eher zu,Stimme zu,Stimme eher zu,Stimme zu,Stimme eher zu,Stimme zu,Stimme nicht zu,Stimme zu,Stimme gar nicht zu,Stimme eher nicht zu,Stimme nicht zu,,,,,,,,,,,,,,,"Einen eID-fähigen, die Funktion ist aber deaktiviert.",,,Stimme völlig zu,Stimme zu,Stimme völlig zu,Stimme gar nicht zu,Stimme eher zu,Stimme völlig zu,Stimme eher nicht zu,Stimme völlig zu,Stimme eher zu,Weniger Wartezeit bei Behörden,Stimme nicht zu,Stimme eher nicht zu,Stimme zu,Stimme gar nicht zu,Stimme gar nicht zu,Stimme eher nicht zu,Stimme zu,Stimme eher nicht zu,Ich finde es umständlich und brauche die Funktionen so gut wie nie. Außerdem möchte ich nicht rückverfolgt werden.,Rückschlüsse zu meiner Person und meinem Verhalten.,keine Ahnung,stimme eher zu,stimme völlig zu,stimme völlig zu,stimme eher zu,stimme zu,stimme eher nicht zu,stimme eher nicht zu,stimme völlig zu,stimme gar nicht zu,stimme zu,stimme völlig zu,stimme eher zu,stimme völlig zu,stimme zu,stimme völlig zu,stimme zu,stimme völlig zu,,Stimme eher nicht zu,Stimme völlig zu,Stimme zu,Stimme gar nicht zu,,,Stimme eher zu,Stimme eher nicht zu,Stimme zu,Stimme völlig zu,Stimme eher zu,,,Stimme völlig zu,Stimme eher zu,Stimme eher nicht zu,Stimme eher zu,Stimme gar nicht zu,Stimme gar nicht zu,Feedback habe ich an Tom weitergeleitet!
10370714305,221096680,11/22/2018 07:33:35 PM,11/22/2018 08:08:20 PM,87.79.69.49,,,,,Weiblich,25,"Studienabschluss (Bachelor, Master, Magister, Diplom, Promotion etc.)",,Studierende/r,,,,,,,,,,Mehrmals täglich,stimme nicht zu,stimme eher zu,stimme eher nicht zu,stimme nicht zu,stimme nicht zu,stimme eher zu,Social Media,Online-Banking,Pay Pal,,,,,,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme zu,Stimme nicht zu,Stimme zu,Stimme zu,Stimme eher nicht zu,Stimme eher zu,Stimme nicht zu,Stimme eher zu,Stimme nicht zu,,,,,,,,,,,,,,,"Einen eID-fähigen, die Funktion ist aber deaktiviert.",,,Stimme eher nicht zu,Stimme eher zu,Stimme eher zu,Stimme völlig zu,Stimme eher zu,Stimme eher zu,Stimme nicht zu,Stimme eher zu,Stimme zu,"erleichterte Identifikation, erleichterte Überwachung",Stimme nicht zu,Stimme nicht zu,Stimme eher zu,Stimme eher nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,Stimme nicht zu,"ich weiß nicht, wer meine Daten verwendet",,,stimme nicht zu,stimme nicht zu,stimme eher zu,stimme nicht zu,stimme zu,stimme eher nicht zu,stimme eher zu,stimme eher zu,stimme gar nicht zu,stimme zu,stimme völlig zu,stimme gar nicht zu,stimme gar nicht zu,stimme zu,stimme eher zu,stimme eher zu,stimme eher zu,Stimme eher zu,Stimme nicht zu,,Stimme zu,Stimme gar nicht zu,,Stimme nicht zu,Stimme zu,Stimme gar nicht zu,Stimme zu,Stimme völlig zu,Stimme nicht zu,Stimme gar nicht zu,,Stimme zu,Stimme völlig zu,Stimme zu,Stimme gar nicht zu,Stimme zu,Stimme zu,
